epoch,train_loss,train_accuracy,val_loss,val_accuracy_fixed_0_5,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,val_auroc,val_average_precision,threshold,lr,peak_vram_gib,process_ram_gib,seconds
1,1.291380421800568,0.5546875,1.582561103802807,0.1949685534591195,0.6219758064516129,0.5894736842105263,0.4375,0.8064516129032258,0.6319304435483871,0.8631146360918548,0.14999999999999997,3.3333333333333335e-05,1.0234375,0.5811233520507812,66.84459480000078
2,1.2912910637096502,0.515625,0.5539998747642685,0.7987421383647799,0.6457913306451613,0.7844827586206896,0.7109375,0.5806451612903226,0.6287802419354839,0.8736892606218172,0.61,6.666666666666667e-05,0.564453125,0.3247184753417969,64.48559320000095
3,0.9371143537573516,0.5234375,1.179021252776092,0.1949685534591195,0.5704385080645161,0.856060606060606,0.8828125,0.25806451612903225,0.5587197580645161,0.8517943585441423,0.19999999999999996,0.0001,0.564453125,0.2710075378417969,64.40327780000007
4,0.8505386200267822,0.5078125,0.5627566617239946,0.7987421383647799,0.5720766129032258,0.6538461538461537,0.53125,0.6129032258064516,0.5738407258064515,0.8541603667542441,0.63,0.0001,0.564453125,0.1973724365234375,64.30772620000062
5,0.8801195463165641,0.4453125,0.7304670049709344,0.33962264150943394,0.5769909274193548,0.6130653266331658,0.4765625,0.6774193548387096,0.581149193548387,0.8551140208624596,0.4799999999999999,0.0001,0.564453125,0.169403076171875,64.71034109999891
6,0.7866476806811988,0.5,0.7395722090073351,0.34591194968553457,0.643523185483871,0.5142857142857142,0.3515625,0.9354838709677419,0.6471774193548387,0.8997041617347246,0.4799999999999999,0.0001,0.564453125,0.15323638916015625,64.50092839999888
7,0.7170520229265094,0.5625,1.034432402946664,0.1949685534591195,0.6323084677419355,0.45508982035928136,0.296875,0.967741935483871,0.6035786290322581,0.8860663380633857,0.32999999999999996,0.0001,0.564453125,0.15105056762695312,64.94061809999948
8,0.7835711794905365,0.5234375,0.6974911224917046,0.5471698113207547,0.663054435483871,0.5555555555555556,0.390625,0.9354838709677419,0.6382308467741936,0.9007795573134151,0.5199999999999999,0.0001,0.564453125,0.15116119384765625,64.0385434000018
9,0.7265477958135307,0.53125,0.6504358296874184,0.710691823899371,0.6527217741935484,0.6699507389162561,0.53125,0.7741935483870968,0.6581401209677419,0.9014103419987197,0.5299999999999999,0.0001,0.564453125,0.154998779296875,64.43374820000099
10,0.7201085472479463,0.5390625,0.716473326743024,0.4339622641509434,0.6654485887096775,0.6428571428571428,0.4921875,0.8387096774193549,0.66015625,0.9073351479804319,0.4799999999999999,0.0001,0.564453125,0.15523910522460938,63.75394790000064
